Animal ID,Treat,Site,SVL1,Mass1,SVL2,Mass2,Growth (mm),Growth (g),PHA % swelling,Hematocrit,Fat (g)
1-1-1-1,OVX,February Pt,44,1.4,46,2.5,2,1.1,,0.3095,0.2448
1-1-1-3,OVX,February Pt,44,1.5,45,1.9,1,0.4,,0.2632,0.1003
1-1-2-3,OVX,February Pt,46,1.7,47,2.5,1,0.8,,0.4444,0.1239
1-1-23-2,SHAM,February Pt,42,1.0,44,1.8,2,0.8,,0.2667,0.0096
1-1-3-1,OVX,February Pt,42,1.2,45,2.1,3,0.9,,0.3846,0.2338
1-1-5-5,SHAM,February Pt,44,1.6,46,2,2,0.4,,0.1818,0.0004
1-2-1-1,OVX,February Pt,40,1.1,43,1.5,3,0.4,,0.2333,0.0409
1-2-1-3,OVX,February Pt,41,1.0,44,1.8,3,0.8,,0.3462,0.2064
1-2-1-5,SHAM,February Pt,42,1.3,44,1.5,2,0.2,,0.3125,0.0155
1-2-3-2,SHAM,February Pt,44,1.4,45,1.7,1,0.3,,0.2778,0.0039
1-3-1-1,OVX,February Pt,42,1.4,45,2.1,3,0.7,,0.3667,0.1439
1-3-2-5,SHAM,February Pt,40,1.3,44,1.6,4,0.3,,0.2143,0.0092
1-3-3-5,OVX,February Pt,44,1.6,46,2.2,2,0.6,,0.3243,0.1787
1-3-5-1,OVX,February Pt,45,1.9,46,2.5,1,0.6,,0.3333,0.2552
1-3-5-3,OVX,February Pt,43,1.3,45,2,2,0.7,,0.2439,0.1682
1-3-5-5,SHAM,February Pt,42,1.4,43,2,1,0.6,,0.2727,0.0042
1-5-1-1,OVX,February Pt,41,1.6,44,1.8,3,0.2,,0.3000,0.173
1-5-5-1,OVX,February Pt,43,1.4,45,2.2,2,0.8,,0.3333,0.1552
1-5-5-5,SHAM,February Pt,43,1.4,45,2,2,0.6,,0.2500,0.0085
2(3)-3-3-1,OVX,February Pt,45,1.7,46,2.2,1,0.5,,0.2973,0.1895
2-1-1-1,OVX,February Pt,43,1.7,45,1.8,2,0.1,,0.3103,0.1629
2-1-1-2,SHAM,February Pt,43,1.7,45,2,2,0.3,,0.2000,0
2-1-1-3,OVX,February Pt,40,1.2,43,1.7,3,0.5,,0.2857,0.1558
2-1-2-3,OVX,February Pt,42,1.2,43,1.5,1,0.3,,0.3000,0.0651
2-1-3-2,SHAM,February Pt,44,1.7,45,1.9,1,0.2,,0.2500,0
2-1-5-5,SHAM,February Pt,40,1.1,,,,,,0.2619,0.0033
2-2-2-1,OVX,February Pt,44,1.7,47,2.5,3,0.8,,0.3421,0.2169
2-2-3-2,SHAM,February Pt,42,1.6,43,1.5,1,-0.1,,0.2857,0.0089
2-2-3-5,SHAM,February Pt,43,1.5,44,1.4,1,-0.1,,,0.0009
2-3-3-5,SHAM,February Pt,44,1.9,45,2,1,0.1,,0.2414,0
23-5-1-3,OVX,February Pt,46,2.0,48,2.6,2,0.6,,0.3095,0.2035
2-3-5-3,OVX,February Pt,43,1.9,46,2.4,3,0.5,,0.4286,0.2859
2-5-3-1,OVX,February Pt,41,1.2,47,2.5,,,,,
2-5-5-1,OVX,February Pt,42,1.4,44,1.6,2,0.2,,,
3-1-1-3,OVX,February Pt,42,1.4,45,1.9,3,0.5,,0.3462,0.1635
3-1-5-2,SHAM,February Pt,43,1.4,44,1.8,1,0.4,,0.3600,0.0109
3-2-2-5,SHAM,February Pt,39,1.0,43,1.6,4,0.6,,0.2188,0.0081
3-3-2-3,OVX,February Pt,45,1.8,47,2.5,2,0.7,,,
3-3-5-2,SHAM,February Pt,42,1.3,43,1.5,1,0.2,,0.2500,0.003
3-3-5-3,OVX,February Pt,40,1.2,44,2.1,4,0.9,,0.3243,0.2103
3-5-1-3,OVX,February Pt,42,1.4,44,1.9,2,0.5,,0.3704,0.1644
3-5-2-3,OVX,February Pt,41,1.4,43,1.7,2,0.3,,0.3333,0.1122
3-5-3-2,OVX,February Pt,40,1.4,44,1.8,4,0.4,,0.3704,0.1226
3-5-3-3,SHAM,February Pt,42,1.6,43,1.6,1,0.0,,0.1923,0.0007
3-5-5-1,SHAM,February Pt,42,1.4,43,1.7,1,0.3,,0.2727,0.0013
3-5-5-2,OVX,February Pt,41,1.4,44,1.8,3,0.4,,0.3600,0.1507
3-5-5-3,SHAM,February Pt,44,1.5,46,1.7,2,0.2,,,
5-1-1-2,OVX,February Pt,44,1.3,46,2,2,0.7,,0.2500,0.0054
5-1-1-3,SHAM,February Pt,44,1.8,45,2,1,0.2,,0.2500,0.0159
5-1-1-5,OVX,February Pt,42,1.4,44,1.9,2,0.5,,0.3158,0.1389
5-2-3-2,SHAM,February Pt,43,1.3,45,1.9,2,0.6,,0.3125,0.1539
1-1-12-2,OVX,Flamingo,46,2.1,46,1.8,0,-0.3,0.161290323,,
1-1-12-3,SHAM,Flamingo,44,1.7,45,1.9,1,0.2,0.107142857,0.2424,
1-1-2-12,OVX,Flamingo,46,1.8,48,2.5,2,0.7,0.423076923,,
1-2-1-12,OVX,Flamingo,46,2.1,46,1.9,0,-0.2,0.161290323,,
1-2-12-2,OVX,Flamingo,45,1.9,47,2.1,2,0.2,0.171428571,,
1-2-12-3,SHAM,Flamingo,42,1.4,43,1.4,1,0.0,0.28,0.2174,
